,Skill,Domain,Sub-Domain
15454,Path (Variable),computer-science,design-and-product
15456,Unix Shells,computer-science,design-and-product
15463,Adobe Acrobat,computer-science,design-and-product
15464,Adobe Premiere,computer-science,design-and-product
15465,Adobe Illustrator,computer-science,design-and-product
15466,Photography,computer-science,design-and-product
15467,Adobe Indesign,computer-science,design-and-product
15468,Adobe Creative Suite,computer-science,design-and-product
15469,Creativity,computer-science,design-and-product
15472,Adobe Photoshop,computer-science,design-and-product
15474,Personal Advertisement,computer-science,design-and-product
15476,Global,computer-science,design-and-product
15478,Vista,computer-science,design-and-product
15479,Pgf/Tikz,computer-science,design-and-product
15481,Portable Document Format,computer-science,design-and-product
15482,Presentation,computer-science,design-and-product
15483,Dict,computer-science,design-and-product
15484,Typography,computer-science,design-and-product
15486,Probability Density Function,computer-science,design-and-product
15487,Latex,computer-science,design-and-product
15488,Russian,computer-science,design-and-product
15490,Microcontroller,computer-science,design-and-product
15491,C++,computer-science,design-and-product
15492,Display Devices,computer-science,design-and-product
15493,Switches,computer-science,design-and-product
15494,Do While Loop,computer-science,design-and-product
15497,Automaton,computer-science,design-and-product
15498,Arduino,computer-science,design-and-product
15503,Json,computer-science,design-and-product
15506,Vector Graphics,computer-science,design-and-product
15507,R&D Management,computer-science,design-and-product
15510,Web Design,computer-science,design-and-product
15516,E-Commerce,computer-science,design-and-product
15517,Graphic Design,computer-science,design-and-product
15519,Gradient,computer-science,design-and-product
15520,Standing Ovation,computer-science,design-and-product
15523,Pointing Device Gesture,computer-science,design-and-product
15524,Ordered Pair,computer-science,design-and-product
15525,Python Programming,computer-science,design-and-product
15526,Lambda Lifting,computer-science,design-and-product
15529,Microsoft Excel,computer-science,design-and-product
15531,Adobe Illustrator Artwork,computer-science,design-and-product
15533,Coreldraw,computer-science,design-and-product
15534,Quickbooks,computer-science,design-and-product
15537,Macromedia,computer-science,design-and-product
15539,Photoscan,computer-science,design-and-product
15540,Instance Variable,computer-science,design-and-product
15542,Thought,computer-science,design-and-product
15543,Method (Computer Programming),computer-science,design-and-product
15545,Syntax,computer-science,design-and-product
15547,Crt0,computer-science,design-and-product
15548,Java (Software Platform),computer-science,design-and-product
15549,Object-Oriented Programming,computer-science,design-and-product
15550,English Language,computer-science,design-and-product
15551,Extract,computer-science,design-and-product
15553,Data Science,computer-science,design-and-product
15556,Php,computer-science,design-and-product
15559,High Fidelity,computer-science,design-and-product
15563,Character (Computing),computer-science,design-and-product
15565,Login,computer-science,design-and-product
15567,Axosoft,computer-science,design-and-product
15568,Steel Connection Design,computer-science,design-and-product
15569,Print Shop,computer-science,design-and-product
15570,Game Theory,computer-science,design-and-product
15573,Gamification,computer-science,design-and-product
15575,Face-To-Face Interaction,computer-science,design-and-product
15576,Interactivity,computer-science,design-and-product
15578,Compiler,computer-science,design-and-product
15581,Pcb Layout And Design,computer-science,design-and-product
15583,Music,computer-science,design-and-product
15585,Printer Repair,computer-science,design-and-product
15589,Reusability,computer-science,design-and-product
15591,Benefits,computer-science,design-and-product
15592,Externality,computer-science,design-and-product
15593,Graphs,computer-science,design-and-product
15595,Flow Network,computer-science,design-and-product
15599,Rendering (Computer Graphics),computer-science,design-and-product
15602,Sketchup,computer-science,design-and-product
15603,Product Design,computer-science,design-and-product
15604,Hand,computer-science,design-and-product
15605,Product Development,computer-science,design-and-product
15606,Family,computer-science,design-and-product
15609,Point Cloud,computer-science,design-and-product
15610,Geodetic Datum,computer-science,design-and-product
15611,Satellite,computer-science,design-and-product
15612,Depth Map,computer-science,design-and-product
15613,Photogrammetry,computer-science,design-and-product
15614,Unmanned Aerial Vehicle,computer-science,design-and-product
15615,Lecture,computer-science,design-and-product
15616,Ternary Conditional Operator,computer-science,design-and-product
15618,Aerial Photography,computer-science,design-and-product
15619,Schedule,computer-science,design-and-product
15620,Future Value,computer-science,design-and-product
15621,Interest Rate,computer-science,design-and-product
15622,Nominal Interest Rate,computer-science,design-and-product
15623,Amortization,computer-science,design-and-product
15624,Netting,computer-science,design-and-product
15625,Depreciation,computer-science,design-and-product
15626,Amortizing Loan,computer-science,design-and-product
15628,Loan,computer-science,design-and-product
15630,Oculus Vr,computer-science,design-and-product
15632,Customer Experience,computer-science,design-and-product
15636,Digital Media,computer-science,design-and-product
15637,Digital Project,computer-science,design-and-product
15638,Marketing Mix,computer-science,design-and-product
15639,Usability Goals,computer-science,design-and-product
15641,Visual Hierarchy,computer-science,design-and-product
15643,Test Plan,computer-science,design-and-product
15646,Mobile Interaction,computer-science,design-and-product
15651,Run Time (Program Lifecycle Phase),computer-science,design-and-product
15652,Program Counter,computer-science,design-and-product
15653,Out-Of-Order Execution,computer-science,design-and-product
15655,Program Lifecycle Phase,computer-science,design-and-product
15656,Verilog,computer-science,design-and-product
15657,Systems Design,computer-science,design-and-product
15658,Digital Design,computer-science,design-and-product
15664,Computer-Aided Design,computer-science,design-and-product
15665,Undefined Variable,computer-science,design-and-product
15666,3D Modeling,computer-science,design-and-product
15668,Building Information Modeling,computer-science,design-and-product
15669,Pollution,computer-science,design-and-product
15671,Landing Page,computer-science,design-and-product
15687,Design Sprint,computer-science,design-and-product
15689,Phenomenon,computer-science,design-and-product
15690,File Shortcut,computer-science,design-and-product
15691,Visual Communication,computer-science,design-and-product
15692,Evolution,computer-science,design-and-product
15693,Communication,computer-science,design-and-product
15694,Art,computer-science,design-and-product
15701,Data Centers,computer-science,design-and-product
15703,Systolic Array,computer-science,design-and-product
15707,Cloud Infrastructure,computer-science,design-and-product
15709,Html,computer-science,design-and-product
15712,Poster,computer-science,design-and-product
15713,Matching,computer-science,design-and-product
15714,Digital Advertising,computer-science,design-and-product
15716,Editing,computer-science,design-and-product
15718,Keyboard Shortcut,computer-science,design-and-product
15725,Microprocessor,computer-science,design-and-product
15726,Voice User Interface,computer-science,design-and-product
15729,Verification And Validation,computer-science,design-and-product
15738,User Persona,computer-science,design-and-product
15739,Transporting,computer-science,design-and-product
15740,Reason,computer-science,design-and-product
15741,Must,computer-science,design-and-product
15748,Framing,computer-science,design-and-product
15749,System V,computer-science,design-and-product
15750,System U,computer-science,design-and-product
15751,Finite-State Machine,computer-science,design-and-product
15752,C Process Control,computer-science,design-and-product
15753,Bisimulation,computer-science,design-and-product
15754,.Bit,computer-science,design-and-product
15755,Ω-Automaton,computer-science,design-and-product
15756,Alternating Bit Protocol,computer-science,design-and-product
15757,Transition System,computer-science,design-and-product
15762,Saving,computer-science,design-and-product
15764,Economics,computer-science,design-and-product
15769,3D Cinema,computer-science,design-and-product
15770,Digital 3D,computer-science,design-and-product
15771,3D Printing,computer-science,design-and-product
15772,3D Computer Graphics,computer-science,design-and-product
15773,3D Graphics Software,computer-science,design-and-product
15774,3D Television,computer-science,design-and-product
15781,Lamp (Software Bundle),computer-science,design-and-product
15787,Scatter Plot,computer-science,design-and-product
15788,Spreadsheet,computer-science,design-and-product
15789,Chart,computer-science,design-and-product
15790,Pie Chart,computer-science,design-and-product
15792,Macro (Computer Science),computer-science,design-and-product
15793,Microsoft Excel Macro,computer-science,design-and-product
15794,Pivot Table,computer-science,design-and-product
15795,Lookup Table,computer-science,design-and-product
15801,Illustration,computer-science,design-and-product
15809,Image Editing,computer-science,design-and-product
15810,Trigonometric Integral,computer-science,design-and-product
15811,Numbers (Spreadsheet),computer-science,design-and-product
15813,Philosophy,computer-science,design-and-product
15814,Psychologies,computer-science,design-and-product
15815,Video Editing,computer-science,design-and-product
15820,Digital Imaging,computer-science,design-and-product
15824,Serial Port,computer-science,design-and-product
15826,Labview,computer-science,design-and-product
15827,Noise,computer-science,design-and-product
15828,Spectral Density Estimation,computer-science,design-and-product
15829,Telemedicine,computer-science,design-and-product
15830,Signal Processing,computer-science,design-and-product
15831,Com File,computer-science,design-and-product
15832,Simulink,computer-science,design-and-product
15833,Digital Marketing,computer-science,design-and-product
15834,Process Management,computer-science,design-and-product
15835,Chief Product Officer,computer-science,design-and-product
15836,Product Portfolio Management,computer-science,design-and-product
15837,Qa & Ux Manager,computer-science,design-and-product
15838,Business Process Management,computer-science,design-and-product
15841,Product Strategy,computer-science,design-and-product
15842,Business Process,computer-science,design-and-product
15846,Farm,computer-science,design-and-product
15856,Brand,computer-science,design-and-product
15859,Sg&A,computer-science,design-and-product
15860,Benchmarking,computer-science,design-and-product
15861,Speech,computer-science,design-and-product
15862,Training,computer-science,design-and-product
15872,Agile Manifesto,computer-science,design-and-product
15873,Unified Process,computer-science,design-and-product
15878,Lean Software Development,computer-science,design-and-product
15881,Software Development Process,computer-science,design-and-product
15885,Requirements Analysis,computer-science,design-and-product
15886,Requirements Management,computer-science,design-and-product
15887,Use Case,computer-science,design-and-product
15890,Requirements Elicitation,computer-science,design-and-product
15891,Software Requirements,computer-science,design-and-product
15896,Software Project Management,computer-science,design-and-product
15899,Burn Down Chart,computer-science,design-and-product
15900,Software Metrics,computer-science,design-and-product
15901,Project Management,computer-science,design-and-product
15913,Desire,computer-science,design-and-product
15914,V-Ray,computer-science,design-and-product
15917,Virtual Reality,computer-science,design-and-product
15920,Interior Design,computer-science,design-and-product
15921,Computer Animation,computer-science,design-and-product
15936,Virtual Camera System,computer-science,design-and-product
15937,Version Control,computer-science,design-and-product
15940,Character Encoding,computer-science,design-and-product
15941,Entry Point,computer-science,design-and-product
15942,Upload,computer-science,design-and-product
15944,Particle System,computer-science,design-and-product
15949,Sprite (Computer Graphics),computer-science,design-and-product
15952,Snappy (Package Manager),computer-science,design-and-product
15953,Geometry,computer-science,design-and-product
15954,Eye Tracking,computer-science,design-and-product
15955,Machine Vision,computer-science,design-and-product
15956,Bluetooth,computer-science,design-and-product
15957,Samsung Gear Vr,computer-science,design-and-product
15958,Augmented Reality,computer-science,design-and-product
15959,Continuous Function,computer-science,design-and-product
15960,Mixed Reality,computer-science,design-and-product
15961,Holography,computer-science,design-and-product
15973,Quantitative Research,computer-science,design-and-product
15977,Qualitative Research,computer-science,design-and-product
15978,Needs Assessment,computer-science,design-and-product
15979,Research Methods,computer-science,design-and-product
15982,Wall,computer-science,design-and-product
15990,Relative Change And Difference,computer-science,design-and-product
15991,Recruiting,computer-science,design-and-product
15993,Brainstorming,computer-science,design-and-product
15996,Design Effect,computer-science,design-and-product
16000,Test Design,computer-science,design-and-product
16003,Sampling Statistics,computer-science,design-and-product
16005,Accidental Sampling,computer-science,design-and-product
16007,Coverage Error,computer-science,design-and-product
16008,Measurement,computer-science,design-and-product
16009,Concept Testing,computer-science,design-and-product
16012,Nonprobability Sampling,computer-science,design-and-product
16032,Principles Of User Interface Design,computer-science,design-and-product
16033,Design Pattern,computer-science,design-and-product
16036,Contextual Inquiry,computer-science,design-and-product
16037,Collation,computer-science,design-and-product
16048,Interaction Design Pattern,computer-science,design-and-product
16058,Cognitive Walkthrough,computer-science,design-and-product
16059,Usability Lab,computer-science,design-and-product
16071,Digital Signature,computer-science,design-and-product
16075,Immersion (Virtual Reality),computer-science,design-and-product
16077,Haptic Technology,computer-science,design-and-product
16078,Plausibility Structure,computer-science,design-and-product
16080,360-Degree Video,computer-science,design-and-product
16082,Virtual Reality Headset,computer-science,design-and-product
16084,Content Creation,computer-science,design-and-product
16086,Graphics Hardware,computer-science,design-and-product
16090,Three-Dimensional Graph,computer-science,design-and-product
16091,Unreal Engine,computer-science,design-and-product
16093,Graphical User Interface,computer-science,design-and-product
16094,Interact,computer-science,design-and-product
16097,Redirected Walking,computer-science,design-and-product
16100,Hyperinteger,computer-science,design-and-product
16101,Augmented Assignment,computer-science,design-and-product
16102,3D Interaction,computer-science,design-and-product
16103,Lip,computer-science,design-and-product
16106,Facial,computer-science,design-and-product
16107,Blushing,computer-science,design-and-product
16108,Skeletal Animation,computer-science,design-and-product
16111,Facial Expression,computer-science,design-and-product
16112,Computer Facial Animation,computer-science,design-and-product
16113,Game Testing,computer-science,design-and-product
16116,Lucas Lehmer Primality Test,computer-science,design-and-product
16117,Virtual Reality Games,computer-science,design-and-product
16125,Three-Dimensional Graph,computer-science,mobile-and-web-development
16126,Android Studio,computer-science,mobile-and-web-development
16127,2D Computer Graphics,computer-science,mobile-and-web-development
16128,Gimbal Lock,computer-science,mobile-and-web-development
16129,Computer Graphics,computer-science,mobile-and-web-development
16130,Android Development,computer-science,mobile-and-web-development
16131,Perspective Projection,computer-science,mobile-and-web-development
16132,Mobile Development,computer-science,mobile-and-web-development
16133,Opengl,computer-science,mobile-and-web-development
16134,Scaling,computer-science,mobile-and-web-development
16136,3D Computer Graphics,computer-science,mobile-and-web-development
16137,Primitive Data Type,computer-science,mobile-and-web-development
16142,Rendering (Computer Graphics),computer-science,mobile-and-web-development
16144,Computer Programming,computer-science,mobile-and-web-development
16145,Mir:Ror,computer-science,mobile-and-web-development
16146,Interactivity,computer-science,mobile-and-web-development
16148,Phong Shading,computer-science,mobile-and-web-development
16150,Virtual Reality,computer-science,mobile-and-web-development
16151,Table Of Keyboard Shortcuts,computer-science,mobile-and-web-development
16152,Euler'S Totient Function,computer-science,mobile-and-web-development
16153,Ordered Pair,computer-science,mobile-and-web-development
16154,Recursively Enumerable Set,computer-science,mobile-and-web-development
16155,Java Collections Framework,computer-science,mobile-and-web-development
16156,Software,computer-science,mobile-and-web-development
16157,Interface (Java),computer-science,mobile-and-web-development
16158,Java Syntax,computer-science,mobile-and-web-development
16160,Syntax,computer-science,mobile-and-web-development
16161,Java Programming,computer-science,mobile-and-web-development
16162,Java (Software Platform),computer-science,mobile-and-web-development
16165,Template Method Pattern,computer-science,mobile-and-web-development
16166,Broadcast,computer-science,mobile-and-web-development
16171,Software Engineering,computer-science,mobile-and-web-development
16173,Concurrent Computing,computer-science,mobile-and-web-development
16178,Service Life,computer-science,mobile-and-web-development
16180,Model View Presenter,computer-science,mobile-and-web-development
16185,Security,computer-science,mobile-and-web-development
16187,Unit Testing,computer-science,mobile-and-web-development
16188,Software Testing,computer-science,mobile-and-web-development
16192,Vulnerability (Computing),computer-science,mobile-and-web-development
16193,Extensibility,computer-science,mobile-and-web-development
16194,Integration Testing,computer-science,mobile-and-web-development
16197,Specification (Technical Standard),computer-science,mobile-and-web-development
16199,Stack (Abstract Data Type),computer-science,mobile-and-web-development
16200,Operating Systems,computer-science,mobile-and-web-development
16202,Strategy,computer-science,mobile-and-web-development
16206,Gson,computer-science,mobile-and-web-development
16210,Iphone Dev Team,computer-science,mobile-and-web-development
16211,Ios Jailbreaking,computer-science,mobile-and-web-development
16214,Bada,computer-science,mobile-and-web-development
16215,Posix,computer-science,mobile-and-web-development
16216,Ftp Server Software,computer-science,mobile-and-web-development
16217,Javac,computer-science,mobile-and-web-development
16219,Hibernate Orm,computer-science,mobile-and-web-development
16221,Server Consolidation,computer-science,mobile-and-web-development
16222,Sql Compliance,computer-science,mobile-and-web-development
16223,Webkit,computer-science,mobile-and-web-development
16224,Gnu Toolchain,computer-science,mobile-and-web-development
16226,Mbase,computer-science,mobile-and-web-development
16227,Model View Controller (Mvc),computer-science,mobile-and-web-development
16229,Eclipse,computer-science,mobile-and-web-development
16230,Interfaces,computer-science,mobile-and-web-development
16234,Dynamic Array,computer-science,mobile-and-web-development
16236,Java Annotation,computer-science,mobile-and-web-development
16238,Application Development,computer-science,mobile-and-web-development
16239,Software Versioning,computer-science,mobile-and-web-development
16240,Tendra Compiler,computer-science,mobile-and-web-development
16241,Github,computer-science,mobile-and-web-development
16242,Materials,computer-science,mobile-and-web-development
16243,Material Design,computer-science,mobile-and-web-development
16249,Software Design,computer-science,mobile-and-web-development
16254,Software Development Kits,computer-science,mobile-and-web-development
16256,Sqlite,computer-science,mobile-and-web-development
16258,Application Programming Interfaces,computer-science,mobile-and-web-development
16259,Web Service,computer-science,mobile-and-web-development
16261,Representational State Transfer,computer-science,mobile-and-web-development
16262,Push Technology,computer-science,mobile-and-web-development
16263,Gustave Le Bon,computer-science,mobile-and-web-development
16269,Sql,computer-science,mobile-and-web-development
16270,Pythonanywhere,computer-science,mobile-and-web-development
16271,Django (Web Framework),computer-science,mobile-and-web-development
16272,Web Application,computer-science,mobile-and-web-development
16273,Css,computer-science,mobile-and-web-development
16274,Web Development,computer-science,mobile-and-web-development
16275,Web,computer-science,mobile-and-web-development
16277,Python Programming,computer-science,mobile-and-web-development
16278,Html,computer-science,mobile-and-web-development
16279,Javascript,computer-science,mobile-and-web-development
16280,Php,computer-science,mobile-and-web-development
16285,Cross-Site Request Forgery,computer-science,mobile-and-web-development
16294,Modeling,computer-science,mobile-and-web-development
16297,Databases,computer-science,mobile-and-web-development
16298,Flask,computer-science,mobile-and-web-development
16299,Jquery,computer-science,mobile-and-web-development
16300,Json,computer-science,mobile-and-web-development
16311,Bootstrap (Front-End Framework),computer-science,mobile-and-web-development
16312,Language,computer-science,mobile-and-web-development
16314,Sass (Stylesheet Language),computer-science,mobile-and-web-development
16317,Less (Stylesheet Language),computer-science,mobile-and-web-development
16318,Software As A Service,computer-science,mobile-and-web-development
16319,Typescript,computer-science,mobile-and-web-development
16320,Front-End Web Development,computer-science,mobile-and-web-development
16323,Reactive Programming,computer-science,mobile-and-web-development
16326,Angularjs,computer-science,mobile-and-web-development
16328,Angular,computer-science,mobile-and-web-development
16329,User Interface Design,computer-science,mobile-and-web-development
16330,Ios Development,computer-science,mobile-and-web-development
16332,Mobile App,computer-science,mobile-and-web-development
16338,Ionic (Mobile App Framework),computer-science,mobile-and-web-development
16344,User Experience,computer-science,mobile-and-web-development
16349,Authentication,computer-science,mobile-and-web-development
16350,Mongodb,computer-science,mobile-and-web-development
16351,Node.Js,computer-science,mobile-and-web-development
16352,Https,computer-science,mobile-and-web-development
16353,Oauth,computer-science,mobile-and-web-development
16354,Server-Side,computer-science,mobile-and-web-development
16355,Front And Back Ends,computer-science,mobile-and-web-development
16373,Redux,computer-science,mobile-and-web-development
16379,Denominación De Origen,computer-science,mobile-and-web-development
16385,Joie De Vivre,computer-science,mobile-and-web-development
16389,Yottabyte,computer-science,mobile-and-web-development
16393,Test Automation,computer-science,mobile-and-web-development
16407,Javascript Library,computer-science,mobile-and-web-development
16412,React (Web Framework),computer-science,mobile-and-web-development
16415,Webpack,computer-science,mobile-and-web-development
16437,Swift Programming,computer-science,mobile-and-web-development
16438,"Cut, Copy, And Paste",computer-science,mobile-and-web-development
16440,Xcode,computer-science,mobile-and-web-development
16443,Pixel,computer-science,mobile-and-web-development
16445,Objective-C,computer-science,mobile-and-web-development
16446,C Programming,computer-science,mobile-and-web-development
16448,Interface Builder,computer-science,mobile-and-web-development
16454,User Interface,computer-science,mobile-and-web-development
16457,Gesture Recognition,computer-science,mobile-and-web-development
16458,Data Structures,computer-science,mobile-and-web-development
16462,Human Computer Interaction,computer-science,mobile-and-web-development
16463,User (Computing),computer-science,mobile-and-web-development
16464,Application Design,computer-science,mobile-and-web-development
16465,Navigation Controls,computer-science,mobile-and-web-development
16467,Object-Based Language,computer-science,mobile-and-web-development
16470,Full Cycle,computer-science,mobile-and-web-development
16471,Peering,computer-science,mobile-and-web-development
16477,Apple Video,computer-science,mobile-and-web-development
16479,Clang,computer-science,mobile-and-web-development
16486,C++,computer-science,mobile-and-web-development
16489,Flat Design,computer-science,mobile-and-web-development
16490,Human Interface Guidelines,computer-science,mobile-and-web-development
16491,Core Data,computer-science,mobile-and-web-development
16494,Skeuomorph,computer-science,mobile-and-web-development
16498,Record (Computer Science),computer-science,mobile-and-web-development
16500,Event-Driven Programming,computer-science,mobile-and-web-development
16502,Os X,computer-science,mobile-and-web-development
16506,Enumerated Type,computer-science,mobile-and-web-development
16507,Preference,computer-science,mobile-and-web-development
16508,Interaction Design,computer-science,mobile-and-web-development
16509,Apple Keynote,computer-science,mobile-and-web-development
16510,Particle System,computer-science,mobile-and-web-development
16511,Video Game Development,computer-science,mobile-and-web-development
16512,Gameplay,computer-science,mobile-and-web-development
16513,Kludge,computer-science,mobile-and-web-development
16514,Side-Scrolling Video Game,computer-science,mobile-and-web-development
16519,Object-Oriented Programming,computer-science,mobile-and-web-development
16523,Jmol,computer-science,mobile-and-web-development
16526,Graphical User Interface Builder,computer-science,mobile-and-web-development
16528,Oracle Sql Developer,computer-science,mobile-and-web-development
16529,Iphone (Ios) Software Development Kit (Sdk),computer-science,mobile-and-web-development
16530,Google App Engine,computer-science,mobile-and-web-development
16531,User Interface Builders,computer-science,mobile-and-web-development
16532,Rtems,computer-science,mobile-and-web-development
16533,Cantata++,computer-science,mobile-and-web-development
16537,Process Flow Development,computer-science,mobile-and-web-development
16539,Web Page,computer-science,mobile-and-web-development
16541,Html And Css,computer-science,mobile-and-web-development
16544,Web Design,computer-science,mobile-and-web-development
16545,Html5,computer-science,mobile-and-web-development
16548,Project,computer-science,mobile-and-web-development
16549,Hooking,computer-science,mobile-and-web-development
16550,Concatenation,computer-science,mobile-and-web-development
16551,Extract,computer-science,mobile-and-web-development
16552,Text Editors,computer-science,mobile-and-web-development
16555,.Properties,computer-science,mobile-and-web-development
16556,Text Corpus,computer-science,mobile-and-web-development
16557,Hold,computer-science,mobile-and-web-development
16558,Ternary Conditional Operator,computer-science,mobile-and-web-development
16562,Persistence (Computer Science),computer-science,mobile-and-web-development
16564,Radio Button,computer-science,mobile-and-web-development
16565,Telephone Number,computer-science,mobile-and-web-development
16567,Exit (System Call),computer-science,mobile-and-web-development
16568,Text Box,computer-science,mobile-and-web-development
16569,Persistence,computer-science,mobile-and-web-development
16576,Dart (Programming Language),computer-science,mobile-and-web-development
16581,Interactive Storytelling,computer-science,mobile-and-web-development
16586,Menu Bar,computer-science,mobile-and-web-development
16587,Display Devices,computer-science,mobile-and-web-development
16592,Css Flex Box Layout,computer-science,mobile-and-web-development
16594,Writing,computer-science,mobile-and-web-development
16595,Project Mine,computer-science,mobile-and-web-development
16599,Utility,computer-science,mobile-and-web-development
16602,Switches,computer-science,mobile-and-web-development
16603,Programming Tool,computer-science,mobile-and-web-development
16606,Taxes,computer-science,mobile-and-web-development
16607,Logic,computer-science,mobile-and-web-development
16610,Null Coalescing Operator,computer-science,mobile-and-web-development
16612,Compounding,computer-science,mobile-and-web-development
16613,Arithmetic,computer-science,mobile-and-web-development
16614,Upload,computer-science,mobile-and-web-development
16615,Drop-Down List,computer-science,mobile-and-web-development
16623,Matching,computer-science,mobile-and-web-development
16624,Notification Area,computer-science,mobile-and-web-development
16626,Interaction Technique,computer-science,mobile-and-web-development
16629,Widget (Gui),computer-science,mobile-and-web-development
16630,Graphical User Interface Elements,computer-science,mobile-and-web-development
16631,Shell (Computing),computer-science,mobile-and-web-development
16642,Quantum Computing,computer-science,mobile-and-web-development
16646,Organizing (Management),computer-science,mobile-and-web-development
16651,Label,computer-science,mobile-and-web-development
16652,Project Management,computer-science,mobile-and-web-development
16654,Unos (Operating System),computer-science,mobile-and-web-development
16655,Visual Basic,computer-science,mobile-and-web-development
16659,Ajax (Programming),computer-science,mobile-and-web-development
16661,Ruby (Programming Language),computer-science,mobile-and-web-development
16663,Ruby On Rails,computer-science,mobile-and-web-development
16665,Anatomy,computer-science,mobile-and-web-development
16666,Uniform Resource Locator,computer-science,mobile-and-web-development
16673,Solution Stack,computer-science,mobile-and-web-development
16677,Javascript Framework,computer-science,mobile-and-web-development
16685,Mysql,computer-science,mobile-and-web-development
16689,Dynamic Web Page,computer-science,mobile-and-web-development
16692,Back-End Database,computer-science,mobile-and-web-development
16694,Running,computer-science,mobile-and-web-development
16701,String Searching Algorithm,computer-science,mobile-and-web-development
16708,Animation Software,computer-science,mobile-and-web-development
16711,Infographics,computer-science,mobile-and-web-development
16714,I-Deas,computer-science,mobile-and-web-development
16716,Surround Sound,computer-science,mobile-and-web-development
16722,Middleware,computer-science,mobile-and-web-development
16728,Full-Stack Web Development,computer-science,mobile-and-web-development
16729,Active Record Pattern,computer-science,mobile-and-web-development
16735,Variable (Computer Science),computer-science,mobile-and-web-development
16741,Exception Handling,computer-science,mobile-and-web-development
16745,Mobile Web,computer-science,mobile-and-web-development
16748,Document Object Model,computer-science,mobile-and-web-development
16749,Scripting Language,computer-science,mobile-and-web-development
16752,Adobe Dreamweaver,computer-science,mobile-and-web-development
16761,Pageable Memory,computer-science,mobile-and-web-development
16771,Style Sheets,computer-science,mobile-and-web-development
16772,Spring,computer-science,mobile-and-web-development
16773,Cloud Computing,computer-science,mobile-and-web-development
16774,Servlets,computer-science,mobile-and-web-development
16775,Spring Framework,computer-science,mobile-and-web-development
16776,Dependency Injection,computer-science,mobile-and-web-development
16778,Hypertext Transfer Protocol,computer-science,mobile-and-web-development
16783,Relative Change And Difference,computer-science,mobile-and-web-development
16789,Numbers (Spreadsheet),computer-science,mobile-and-web-development
16803,Analysis,computer-science,mobile-and-web-development
16806,Socket,computer-science,mobile-and-web-development
16808,Wireshark,computer-science,mobile-and-web-development
16810,Socket P,computer-science,mobile-and-web-development
16813,Recursion,computer-science,mobile-and-web-development
16818,Relational Database,computer-science,mobile-and-web-development
16826,Confidence,computer-science,mobile-and-web-development
16829,Bear,computer-science,mobile-and-web-development
16831,Date Picker,computer-science,mobile-and-web-development
16835,Internality,computer-science,mobile-and-web-development
16839,Reference (Computer Science),computer-science,mobile-and-web-development
16845,Checkbox,computer-science,mobile-and-web-development
16848,Xml,computer-science,mobile-and-web-development
16856,Order Of Operations,computer-science,mobile-and-web-development
16857,Data Type,computer-science,mobile-and-web-development
16858,Factorial,computer-science,mobile-and-web-development
16861,Modulo Operation,computer-science,mobile-and-web-development
16862,Web Hosting Service,computer-science,mobile-and-web-development
16872,Addresssanitizer,computer-science,mobile-and-web-development
16887,Enabling,computer-science,mobile-and-web-development
16896,Component-Based Software Engineering,computer-science,mobile-and-web-development
16901,Quotation,computer-science,mobile-and-web-development
16905,Adobe Illustrator,computer-science,mobile-and-web-development
16907,Download,computer-science,mobile-and-web-development
16911,Jpeg,computer-science,mobile-and-web-development
16913,C Dynamic Memory Allocation,computer-science,mobile-and-web-development
16918,Page Layout,computer-science,mobile-and-web-development
16925,Graphic Design,computer-science,mobile-and-web-development
16931,Wordpress,computer-science,mobile-and-web-development
16933,Content Management System,computer-science,mobile-and-web-development
16934,Leadership And Management,computer-science,mobile-and-web-development
16935,Website Management,computer-science,mobile-and-web-development
16936,Usability,computer-science,mobile-and-web-development
16948,Cryptocurrency,computer-science,mobile-and-web-development
16949,Experiment,computer-science,mobile-and-web-development
16956,Constant (Computer Programming),computer-science,mobile-and-web-development
16968,Path (Variable),computer-science,mobile-and-web-development
16969,Responsiveness,computer-science,mobile-and-web-development
16975,Project Networks,computer-science,mobile-and-web-development
16976,Show Me!,computer-science,mobile-and-web-development
16984,Streams,computer-science,mobile-and-web-development
16988,Software Architecture,computer-science,mobile-and-web-development
16989,Capgemini,computer-science,mobile-and-web-development
16993,Architecture,computer-science,mobile-and-web-development
16999,Experience,computer-science,mobile-and-web-development
17011,Stunning,computer-science,mobile-and-web-development
17012,Media Market,computer-science,mobile-and-web-development
17013,Personalization,computer-science,mobile-and-web-development
17014,Digital Signature,computer-science,mobile-and-web-development
17015,Login,computer-science,mobile-and-web-development
17016,Vector Graphics,computer-science,mobile-and-web-development
17028,Autodesk 3Ds Max,computer-science,mobile-and-web-development
17029,Augmented Reality,computer-science,mobile-and-web-development
17030,Context Awareness,computer-science,mobile-and-web-development
17031,Virtual Artifact,computer-science,mobile-and-web-development
17034,Asset,computer-science,mobile-and-web-development
17035,Tracking,computer-science,mobile-and-web-development
17041,Brand-New,computer-science,mobile-and-web-development
17042,Cloning,computer-science,mobile-and-web-development
17047,Machine Learning,computer-science,mobile-and-web-development
17053,Margin At Risk,computer-science,mobile-and-web-development
17055,Human Learning,computer-science,mobile-and-web-development
17056,.Bit,computer-science,mobile-and-web-development
17057,Research Now,computer-science,mobile-and-web-development
17058,Critical Thinking,computer-science,mobile-and-web-development
17059,Scene Graph,computer-science,mobile-and-web-development
