,Skill,Count,Percent
1085,Process and Methodology,5,0.1
1316,Software Management,5,0.1
1278,Service Economics,5,0.1
162,Boosting,5,0.1
1071,Principal Component Analysis (PCA),5,0.1
1014,Pediatrics,5,0.1
333,Contract Research Organization (CRO),5,0.1
550,Feature Engineering,5,0.1
1356,Storyboarding,5,0.1
322,Consumer Behaviour,5,0.1
339,Convolutional Neural Network (CNN),5,0.1
1011,Payload,5,0.1
545,Facial Recognition,5,0.1
41,Agricultural Production,5,0.1
536,Exploratory Analysis,5,0.1
534,Expectation-Maximization (EM),5,0.1
1128,Public Law,5,0.1
207,CATS Applicant Tracking System,5,0.1
972,Online Media,5,0.1
1067,Predictive Modelling,5,0.1
1232,SQL Server Integration Services (SSIS),5,0.1
592,Game Development,5,0.1
808,Machine Translation,5,0.1
721,International Finance,5,0.1
128,BREW,5,0.1
591,Game Design,5,0.1
639,Health Economics,5,0.1
799,Logistic Engineering,5,0.1
12,Accounting Standards,5,0.1
899,Mobile Development,5,0.1
1182,Redux,5,0.1
759,Key Management,5,0.1
1503,WaveMaker,5,0.1
256,Cloudera,5,0.1
212,Campaign Optimization,5,0.1
849,Mathematical Logic,5,0.1
1180,Red Hat,5,0.1
119,Automated Machine Learning,5,0.1
1253,Scientific Method,5,0.1
858,Media Planning,5,0.1
645,Heat Map,5,0.1
1531,Xen Cloud Platform,5,0.1
833,Market Segmentation,5,0.1
235,Chemical Processing,5,0.1
1234,Safari,5,0.1
676,Impact Metric,5,0.1
1222,Routing Protocol,5,0.1
1402,Teletraffic Engineering,5,0.1
26,Adobe Photoshop,5,0.1
575,Food Science,5,0.1
678,Income Statement,5,0.1
576,Food Service Operations,5,0.1
1186,Regression Testing,5,0.1
718,Interest Rate,5,0.1
932,Network Optimization,5,0.1
1471,Vector Autoregression (VAR),5,0.1
1333,Space Exploration,4,0.08
794,Load Balancing,4,0.08
642,Health Science,4,0.08
151,Biological Engineering,4,0.08
1036,Photonics,4,0.08
805,MS SQL Server,4,0.08
795,Loader,4,0.08
1479,Veterinary,4,0.08
1190,Release Engineering,4,0.08
1192,Remote Sensing,4,0.08
441,Digital Marketing System,4,0.08
1337,Speaker Recognition,4,0.08
466,Economic Growth,4,0.08
1135,Purchasing Power Parity (PPP),4,0.08
1481,Video Production,4,0.08
1154,RESTful API,4,0.08
1288,SketchUp,4,0.08
241,Civil Law,4,0.08
44,Agronomy,4,0.08
1228,SAP HANA,4,0.08
713,Integrated Circuit,4,0.08
716,Intellectual Property Law,4,0.08
365,Dart,4,0.08
487,Electronic Materials,4,0.08
666,IP Routing,4,0.08
664,IP Address,4,0.08
141,Behaviour Analysis,4,0.08
663,IBM Cloud Computing,4,0.08
733,Internet Security,4,0.08
139,Beaker,4,0.08
366,Dash,4,0.08
1196,Repetition,4,0.08
243,Cleanroom,4,0.08
1210,Reverse Engineering,4,0.08
426,Design Sprint,4,0.08
217,Cardiology,4,0.08
137,Basic Science,4,0.08
270,Commercial Law,4,0.08
1119,Property Tax,4,0.08
1252,Scientific Computing,4,0.08
1297,Social Network,4,0.08
1493,Visual Basic For Applications (VBA),4,0.08
1061,Powershell,4,0.08
1293,Social Media Analytics,4,0.08
1495,Visual Studio,4,0.08
273,Common Lisp,4,0.08
1342,Sports Coaching,4,0.08
914,Multiplication,4,0.08
996,PHP Development,4,0.08
450,Docker,4,0.08
225,Certified Information Security Manager (CISM),4,0.08
1366,Subtraction,4,0.08
811,Macroeconomics,4,0.08
989,Organizational Behaviour,4,0.08
23,Adobe Analytics,4,0.08
897,Mixed Reality,4,0.08
1418,Text Recognition,4,0.08
1376,Syntax,4,0.08
1409,Terraform,4,0.08
916,MySQL,4,0.08
599,Generative Adversarial Network (GAN),4,0.08
1160,Radiology,4,0.08
1406,TensorFlow,4,0.08
923,Naval Architecture,4,0.08
928,Network Analysis,4,0.08
581,Formal Method,4,0.08
568,Fine Art,4,0.08
1273,Semantics,4,0.08
943,Neurology,4,0.08
1275,Sentiment Analysis,4,0.08
310,Concurrent System,4,0.08
1391,Tax Law,4,0.08
883,Microsoft OneNote,4,0.08
332,Contract Law,4,0.08
363,DNS Server,4,0.08
1431,Track Changes,4,0.08
1455,Unix Shell,4,0.08
547,Factor Analysis,4,0.08
1174,Recommendation Engine,4,0.08
859,Media Production,4,0.08
1022,Perl,4,0.08
446,Distributed Denial-of-service (DDoS),4,0.08
290,Computer Architecture,4,0.08
1026,Pharmaceutical Manufacturing,4,0.08
538,Extensible Markup Language (XML),4,0.08
627,Grails,4,0.08
35,Affliate Marketing,4,0.08
114,Authentication Authorization And Accounting (AAA) Server,4,0.08
1429,Tor,4,0.08
443,Digital Printing,4,0.08
1183,Regional Planning,4,0.08
1156,Rackspace,3,0.06
1139,Qlik Sense,3,0.06
454,Dropbox,3,0.06
1272,Self-Organizing Map (SOM),3,0.06
455,Drupal,3,0.06
1134,Puppet,3,0.06
1153,R Shiny,3,0.06
379,Data Manipulation Language,3,0.06
376,Data Language,3,0.06
1265,Secure Socket Layer (SSL),3,0.06
1110,Project Supervision,3,0.06
1261,Search Algorithm,3,0.06
1247,Scarcity,3,0.06
1212,Rhino,3,0.06
1248,Scatter Plot,3,0.06
69,Ansible,3,0.06
1167,Rational Expectations,3,0.06
1105,Programming Model,3,0.06
456,Dynamic Host Configuration Protocol (DHCP),3,0.06
1169,React Native,3,0.06
1205,Responsive Design,3,0.06
438,Digital Library,3,0.06
71,Anti Money Laundering,3,0.06
1254,Scikit-learn,3,0.06
1266,Secure by Design,3,0.06
958,Object Detection,3,0.06
1104,Programming Language Theory,3,0.06
873,Microeconomics,3,0.06
8,Access Control System,3,0.06
823,Mandarin Chinese,3,0.06
624,Google Slides,3,0.06
621,Google Drive,3,0.06
1459,Urology,3,0.06
1451,Unified Process (UP),3,0.06
1444,TypeScript,3,0.06
1442,Trello,3,0.06
20,Administrative Law,3,0.06
1428,Topology,3,0.06
131,Balanced Scorecard,3,0.06
600,Genetic Algorithm,3,0.06
880,Microsoft Hyper-V,3,0.06
110,Audio Production,3,0.06
1427,Time Series Forecasting,3,0.06
1413,Testing Hypothesis,3,0.06
24,Adobe Illustrator,3,0.06
930,Network Component,3,0.06
1393,Team Foundation Server,3,0.06
950,Non-Disclosure Agreement (NDA),3,0.06
816,Malware Analysis,3,0.06
1478,VersionOne,3,0.06
572,Flowchart,3,0.06
140,Beats,3,0.06
695,Information Retrieval,3,0.06
704,Infrastructure as Code (IaS),3,0.06
707,Innovation Leadership,3,0.06
673,Image Processing,3,0.06
1532,Yammer,3,0.06
3,3D Modelling Software,3,0.06
726,International Studies,3,0.06
730,Internet Protocl version 4 (IPv4),3,0.06
731,Internet Protocl version 6 (IPv6),3,0.06
660,Hypertext Transfer Protocol (HTTP),3,0.06
644,Healthcare Management,3,0.06
755,Jupyter,3,0.06
1516,WebSphere,3,0.06
768,LabVIEW,3,0.06
1498,Voice User Interface,3,0.06
136,Bash,3,0.06
135,Basecamp,3,0.06
1486,Virtual Network,3,0.06
787,Linguistics,3,0.06
215,Capacity Utilization,3,0.06
1390,Tax Accounting,3,0.06
898,Mobile Application Development,3,0.06
163,Bootstrap,3,0.06
1042,Physiology,3,0.06
528,Erwin,3,0.06
504,Energy Technology,3,0.06
1346,Spring Framework,3,0.06
1347,Spyware,3,0.06
1021,Periscope,3,0.06
89,Applied Mathematics,3,0.06
520,Environmental Geography,3,0.06
1077,Probability Theory,3,0.06
1045,Plastics Engineering,3,0.06
1363,Structured Programming,3,0.06
998,PSpice,3,0.06
553,File Format,3,0.06
88,Applied Engineering,3,0.06
354,Cryptocurrency,3,0.06
1051,Polish,3,0.06
1328,Solid Modelling,3,0.06
312,Conditional Random Field (CRF),3,0.06
313,Confidence Intervals,3,0.06
974,OpenStack,3,0.06
84,Applicant Tracking System,3,0.06
1069,Pricing Policy,3,0.06
1055,Post Office Protocol (POP),3,0.06
554,File System,3,0.06
514,Entertainment Law,3,0.06
1317,Software Organization,3,0.06
1063,Precision Engineering,3,0.06
1251,SciPy,2,0.04
1513,Web Framework,2,0.04
1509,Web Architecture,2,0.04
1327,Solaris,2,0.04
393,Data Storytelling,2,0.04
221,Cash Flow Management,2,0.04
1524,Wireless Security,2,0.04
1490,Visual Art,2,0.04
198,Business Research,2,0.04
1301,Socket,2,0.04
403,Database Development,2,0.04
1319,Software Process,2,0.04
2,3D Computer Graphics,2,0.04
1314,Software Interface,2,0.04
364,Dance,2,0.04
414,Decision Support System,2,0.04
1544,pip,2,0.04
1545,surf,2,0.04
199,Business Statistics,2,0.04
268,Combat Engineering,2,0.04
260,Cocaine,2,0.04
1282,Shiny,2,0.04
28,Advanced Encryption Standard (AES),2,0.04
304,Computer-Assisted Translation (CAT),2,0.04
1407,Teradata,2,0.04
25,Adobe InDesign,2,0.04
1372,Surface Engineering,2,0.04
1414,Text Analysis,2,0.04
1419,Textiles,2,0.04
1420,Theatre,2,0.04
1312,Software Documentation,2,0.04
297,Computer Simulation,2,0.04
296,Computer Security,2,0.04
1280,Sharia,2,0.04
1430,Toxicology,2,0.04
398,Data Wrangling,2,0.04
338,Conversion Rate Optimization,2,0.04
342,Copywriting,2,0.04
285,Computational Biology,2,0.04
1336,Spatial Science,2,0.04
213,Canonical-Correlation Analysis (CCA),2,0.04
274,Common Vulnerabilities and Exposures (CVE),2,0.04
1286,Simulink,2,0.04
1334,Space Science,2,0.04
1386,Tampering,2,0.04
7,Access Control List,2,0.04
1483,Viral Marketing,2,0.04
355,Cryptography,2,0.04
471,Economic Value,2,0.04
224,Cerfified Ethical Hacker,2,0.04
1010,Pay-Per-Click (PPC) Marketing,2,0.04
1148,Quantitative Report,2,0.04
765,Kotlin,2,0.04
686,Industrial Relations,2,0.04
531,Ethnography,2,0.04
1001,Parallel Computing,2,0.04
964,Oceanography,2,0.04
570,First-in First-out (FIFO) Accounting,2,0.04
633,Great Depression,2,0.04
957,Object Database,2,0.04
761,Kibana,2,0.04
819,Management Accounting Principles (MAP),2,0.04
415,Decision Theory,2,0.04
1125,Public Equity,2,0.04
1131,Public Relations and Communications,2,0.04
129,Backdoor,2,0.04
101,Arts and Crafts,2,0.04
1138,Qlik,2,0.04
1140,QlikView,2,0.04
1141,Qualitative Data Analysis,2,0.04
641,Health Law,2,0.04
999,Package Manager,2,0.04
1112,Proper Generalized Decomposition (PGD),2,0.04
767,LaTeX,2,0.04
782,Legal Systems,2,0.04
502,Endocrinology,2,0.04
789,Linker,2,0.04
122,Automotive Engineering,2,0.04
118,Automated Essay Scoring (AES),2,0.04
863,Message Authentication Code (MAC),2,0.04
133,Banking Law,2,0.04
982,Optical Engineering,2,0.04
157,Bitbucket,2,0.04
488,Electronic and Electrical Engineering,2,0.04
79,Apache Pig,2,0.04
485,Electronic Control Systems,2,0.04
484,Electronic Business,2,0.04
802,Lynx,2,0.04
646,Heavyweight,2,0.04
648,Hindi,2,0.04
1,2D Computer Graphics,2,0.04
771,Language Identification,2,0.04
769,Labour Economics,2,0.04
828,Marine Engineering,2,0.04
1146,Quantitative Data Analysis,2,0.04
938,Network Time Protocol (NTP),2,0.04
702,Information Visualization,2,0.04
65,Animal Health,2,0.04
429,DevOps Automation Tool,2,0.04
427,Desktop Virtualization,2,0.04
1023,Personal Coaching,2,0.04
900,Mobile IP,2,0.04
712,Integer,2,0.04
839,Marketing Content Development,2,0.04
904,Modelling & Simulation (M&S),2,0.04
61,Analytical Reasoning,2,0.04
679,Independent Component Analysis (ICA),2,0.04
433,Dictionary,2,0.04
699,Information Systems Security,2,0.04
683,Industrial Design,2,0.04
910,Motion Analysis,2,0.04
419,Delphi,2,0.04
1225,Russian,2,0.04
693,Information Engineering,2,0.04
618,Google Chrome,2,0.04
59,Analysis of Variance (ANOVA),2,0.04
689,Inferential Statistics,2,0.04
937,Network Theory,2,0.04
838,Marketing Consulting,2,0.04
640,Health Informatics,2,0.04
1157,Radiation Engineering,2,0.04
549,Falkon,2,0.04
1159,Radio Production,2,0.04
748,JavaScript Object Notation (JSON),2,0.04
657,Humanities,2,0.04
743,Italian,2,0.04
1006,Password Management,2,0.04
737,Investigational New Drug (IND),2,0.04
736,Intrusion Detection System,2,0.04
927,Network Access Control,2,0.04
447,Distributed Management,2,0.04
1024,Personal Software Process (PSP),2,0.04
445,Distributed Database,2,0.04
1185,Regression Analysis,2,0.04
106,Astronautical Engineering,2,0.04
1199,Representational state transfer (REST),2,0.04
453,Drilling Engineering,2,0.04
613,Goal Tracking System,1,0.02
848,Mathematical Finance,1,0.02
850,Mathematical Modelling,1,0.02
284,Composite Materials,1,0.02
853,Mean Shift,1,0.02
847,Mathematical Economics,1,0.02
843,Mastercam,1,0.02
852,Matplotlib,1,0.02
286,Computational Chemistry,1,0.02
1231,SPSS,1,0.02
288,Computational Neuroscience,1,0.02
601,Genetic Engineering,1,0.02
1416,Text Editor,1,0.02
1417,Text Mining,1,0.02
902,Model-Driven Software Engineering,1,0.02
298,Computer Virus,1,0.02
1422,Thermal Engineering,1,0.02
894,Military Organization,1,0.02
593,Game Theory,1,0.02
890,Microsoft Soluitions Framework (MSF),1,0.02
596,Gastroenterology,1,0.02
597,Generalized Linear Model (GLM),1,0.02
878,Microsoft Edge,1,0.02
875,Microsoft .NET,1,0.02
289,Computational Science,1,0.02
115,Authentication Server,1,0.02
871,MicroStrategy,1,0.02
1456,Unsupervised Learning,1,0.02
117,Autodesk Maya,1,0.02
1435,Transaction Cost,1,0.02
603,Geographic Information System,1,0.02
18,Adaptive Software Development (ASD),1,0.02
608,Geomorphology,1,0.02
292,Computer Game,1,0.02
865,Metallurgical Engineering,1,0.02
864,Metal Forming,1,0.02
869,Metro Ethernet,1,0.02
1484,Virtual Assistant,1,0.02
281,Compiler Optimization,1,0.02
248,Cloud API,1,0.02
1508,Web Application Security,1,0.02
1510,Web Browser,1,0.02
760,Keynote,1,0.02
219,Cartography,1,0.02
758,Keras,1,0.02
1514,Web Property,1,0.02
1515,Web Server,1,0.02
756,Jupyter Notebook,1,0.02
1517,Weblogic,1,0.02
655,Human-Computer Interaction,1,0.02
753,Joomla,1,0.02
138,Bayesian,1,0.02
742,Isilon,1,0.02
662,IBM Cloud,1,0.02
729,Internet Explorer,1,0.02
725,International Standards on Auditing (ISA),1,0.02
724,International Politics,1,0.02
723,International Law,1,0.02
722,International Financial Reporting Standards (IFRS),1,0.02
714,Integrated Development Environment (IDE),1,0.02
1535,Zapier,1,0.02
142,Behavioural Economics,1,0.02
671,Ideology,1,0.02
1542,k-means Clustering,1,0.02
685,Industrial Organization,1,0.02
247,Closing Technique,1,0.02
652,Human Machine Interface,1,0.02
622,Google Forms,1,0.02
1504,Web API,1,0.02
834,Market Structure,1,0.02
832,Market Research Analysis,1,0.02
277,CompTIA Security,1,0.02
1466,VHDL,1,0.02
629,Graph Database,1,0.02
813,Maintanence,1,0.02
812,Magento,1,0.02
634,Green Economics,1,0.02
638,Haskell,1,0.02
1476,Verilog,1,0.02
798,Logical Data Models,1,0.02
791,Linode,1,0.02
786,Linear Regression,1,0.02
906,Molecular Engineering,1,0.02
265,Cognitive Science,1,0.02
785,Linear Programming,1,0.02
1487,Virtual Reality,1,0.02
264,Cognitive Psychology,1,0.02
784,Lightweight Directory Access Protocol (LDAP),1,0.02
1491,Visual Basic,1,0.02
1492,Visual Basic .NET,1,0.02
647,Heroku,1,0.02
1500,VxLAN (Virtual Extensible LAN),1,0.02
255,CloudFormation,1,0.02
149,Bioengineering,1,0.02
1415,Text Box,1,0.02
954,Numerical Integration,1,0.02
907,Money Supply,1,0.02
80,Apache Solr,1,0.02
461,Echo State Network (ESN),1,0.02
467,Economic Methodology,1,0.02
1290,Social Engineering,1,0.02
1291,Social Information System,1,0.02
46,Ajax,1,0.02
1123,Psychometrics,1,0.02
468,Economic Model,1,0.02
1295,Social Media Marketing,1,0.02
189,Business Intelligence Development Studio,1,0.02
469,Economic Planning,1,0.02
473,Economies of Scale,1,0.02
1114,Property Law,1,0.02
78,Apache Maven,1,0.02
1303,SoftLayer,1,0.02
1306,Software Business Analysis,1,0.02
40,Agricultural Engineering,1,0.02
1307,Software Deployment,1,0.02
477,Elasticity,1,0.02
478,Elasticsearch,1,0.02
481,Electrical and Electronic Manufacturing,1,0.02
82,Apache Tomcat,1,0.02
42,Agricultural Science,1,0.02
170,Bubble Chart,1,0.02
491,Email Client,1,0.02
492,Email Filtering,1,0.02
87,Applied Economics,1,0.02
495,Email Marketing Campaign,1,0.02
1081,Procedural Generation,1,0.02
1078,Probably Approximately Correct (PAC) Learning,1,0.02
500,Encoding,1,0.02
460,Earth Science,1,0.02
76,Apache Hive,1,0.02
74,Apache Cordova,1,0.02
1147,Quantitative Marketing Research,1,0.02
1233,STATA,1,0.02
1226,Rust,1,0.02
58,Analysis of Covariance,1,0.02
409,Debugger,1,0.02
407,Dataflow,1,0.02
56,Anaconda,1,0.02
1242,Salesforce Object Query Language (SOQL),1,0.02
420,Denial-of-service (DoS),1,0.02
1218,Role-Based Access Control (RBAC),1,0.02
1215,Rivest-Shamir-Adleman (RSA),1,0.02
423,Descriptive Statistics,1,0.02
1211,Revision Control,1,0.02
1207,Restricted Boltzmann Machine (RBM),1,0.02
1206,Responsive Web Design,1,0.02
431,Development Studies,1,0.02
1256,Scoring Metric,1,0.02
439,Digital Literacy,1,0.02
1181,Redshift,1,0.02
177,Burn Down Chart,1,0.02
51,Algorithmic Trading,1,0.02
1172,Real-time Computing,1,0.02
1164,Ransomware,1,0.02
394,Data Streaming,1,0.02
1162,Random Forest,1,0.02
72,Apache Ant,1,0.02
48,Algebraic Geometry,1,0.02
73,Apache Cassandra,1,0.02
1151,Quickbooks,1,0.02
186,Business Essentials,1,0.02
1070,Pricing System,1,0.02
1064,Precision Time Protocol (PTP),1,0.02
908,Monopoly,1,0.02
953,Numerical Analysis,1,0.02
987,Oracle Databases,1,0.02
986,Oracle Cloud,1,0.02
555,File Transfer Protocol (FTP),1,0.02
324,Consumer Protection,1,0.02
983,Optical System,1,0.02
980,Ophthalmology,1,0.02
973,OpenShift,1,0.02
31,Aeronautical Engineering,1,0.02
567,Financial Statement Analysis,1,0.02
1381,Systems Theory,1,0.02
1382,Systems on Chip (SoCs),1,0.02
967,Offshoring,1,0.02
962,Objection Handling,1,0.02
571,Fiscal Policy,1,0.02
951,Nonlinear Regression,1,0.02
509,Enhanced Interior Gateway Routing Protocol (EIGRP),1,0.02
579,Forensic Accounting,1,0.02
103,Aspen HYSYS,1,0.02
939,Network Topology,1,0.02
933,Network Performance Evaluation,1,0.02
303,Computer-Aided Software Engineering,1,0.02
1401,Telegram,1,0.02
107,Astronautics,1,0.02
301,Computer-Aided Engineering,1,0.02
588,Fund Accounting,1,0.02
589,GIAC Web Application Security,1,0.02
920,Natural Language Generation,1,0.02
1408,Terminal Access Controller Access-Control System (TACACS),1,0.02
912,Motion Pictures,1,0.02
909,Morphology,1,0.02
552,Feature Selection,1,0.02
992,Outliers,1,0.02
1367,Supervised Learning,1,0.02
551,Feature Extraction,1,0.02
1329,SonarQube,1,0.02
1058,Poster Design,1,0.02
1331,Source Code Management,1,0.02
1056,Post-Sale Relationship Management,1,0.02
515,Entity Relationship Diagram (ERD),1,0.02
92,Aquaculture,1,0.02
200,Business Storytelling,1,0.02
1038,Physical Medicine,1,0.02
1338,Speech Processing,1,0.02
1037,Physical Geography,1,0.02
1340,Spell Checker,1,0.02
1034,Photogrammetry,1,0.02
1033,Phising,1,0.02
1030,Pharmacology,1,0.02
1029,Pharmacokinetics (PK),1,0.02
1345,Spring Boot,1,0.02
537,Exploratory Data Analysis,1,0.02
1348,Standard ML,1,0.02
343,Core Architecture Data Model,1,0.02
540,Extreme Programming,1,0.02
93,Archaeology,1,0.02
37,Agile Business Analytics,1,0.02
1008,Pathology,1,0.02
1007,Password Synchronization,1,0.02
1004,Pascal,1,0.02
1360,Stream Restoration,1,0.02
1002,Parametric Test,1,0.02
335,Control Chart,1,0.02
334,Contract Theory,1,0.02
687,Industrial and Organizational Psychology,1,0.02
